views,comments,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
418234,46,0.139861776,0.104440911,0.119044514,0.125641356,0.118723703,0.101013736,0.177663851,0.113610154
707524,31,0.102106998,0.12526978,0.111806052,0.126185939,0.129039484,0.107371814,0.191703717,0.106516216
1527858,185,0.096581516,0.121277334,0.117509596,0.129119,0.130164074,0.105337114,0.193017909,0.106993458
1783740,156,0.094754498,0.125988921,0.110653825,0.128484486,0.136870595,0.107494646,0.19279669,0.102956338
1181696,160,0.095589249,0.121754196,0.120377325,0.135137594,0.12631756,0.107361949,0.192199683,0.101262444
832668,154,0.109582272,0.108056079,0.126856873,0.133931752,0.1256938,0.111068847,0.169850464,0.114959913
8360707,604,0.096684181,0.115091103,0.118202735,0.13791379,0.136904192,0.111857542,0.176799501,0.106546955
1604402,183,0.098107678,0.114614839,0.120425765,0.136351748,0.12616553,0.103688918,0.194162794,0.106482728
533761,71,0.088677211,0.115859791,0.120152041,0.13189548,0.125293075,0.104426147,0.196129255,0.117567001
4364865,435,0.095609997,0.117174272,0.118382055,0.128877979,0.128682178,0.105494677,0.199449959,0.106328883
3741423,465,0.095346689,0.112448075,0.123569198,0.131646917,0.129623824,0.102812586,0.190681201,0.113871509
933311,71,0.100063533,0.128372595,0.112711357,0.131599657,0.135320686,0.107894593,0.18092799,0.10310959
928270,95,0.101517277,0.118679357,0.118998363,0.122330326,0.127651042,0.107400808,0.19351188,0.109910948
3519656,227,0.087527179,0.12562194,0.107609864,0.130294549,0.14363825,0.108731593,0.195932037,0.100644588
13926113,554,0.096667814,0.126274179,0.108841888,0.124331746,0.132617757,0.114857655,0.192142915,0.104266046
585052,40,0.08984024,0.123247154,0.111929467,0.130754204,0.136646054,0.107562868,0.197906001,0.102114013
959382,39,0.093069485,0.115471171,0.119921254,0.134497074,0.133322357,0.107071345,0.190143631,0.106503683
403089,41,0.08740982,0.121441718,0.108986185,0.130543833,0.136909604,0.110260337,0.202953225,0.101495278
611092,95,0.095779173,0.111617202,0.119385509,0.132957462,0.131381747,0.107925313,0.192036814,0.10891678
1854024,205,0.099129958,0.109244706,0.125910014,0.13099003,0.128824793,0.106865702,0.181739953,0.117294843
594523,51,0.086273034,0.126216053,0.115644527,0.132978069,0.149065035,0.115199266,0.173959759,0.100664257
670863,34,0.089456157,0.125756935,0.119446319,0.137812534,0.138042085,0.103605203,0.182225793,0.103654973
324266,117,0.092559259,0.122919766,0.114263326,0.132116365,0.135155821,0.105496463,0.193959959,0.10352904
434005,78,0.102793223,0.115060327,0.11981819,0.138862369,0.134955327,0.110836158,0.173509872,0.104164534
596961,63,0.102900205,0.110127114,0.12535681,0.129407136,0.124521313,0.105308403,0.186166966,0.116212051
700273,30,0.097108324,0.121830964,0.112061063,0.129226473,0.133168266,0.109490136,0.189209171,0.107905603
1359400,165,0.096429978,0.123211235,0.118072366,0.128926452,0.12381443,0.106391119,0.197120352,0.106034068
931001,60,0.10248511,0.117607133,0.123474181,0.134980726,0.125233801,0.106933212,0.186363027,0.10292281
1687185,105,0.088722141,0.121133761,0.108312624,0.133057009,0.141271494,0.111476953,0.193387425,0.102638593
